ID,MA_HOPDONG_TINDUNG,SO_KY,NGAY_TRA,TRA_GOC,TRA_LAI
965,CTRA009801,20,2023-01-10,241111111,473111855
966,CTRA009801,21,2023-02-10,241111111,470173272
967,CTRA009801,22,2023-03-10,241111111,422018429
968,CTRA009801,23,2023-04-10,241111111,464296107
969,CTRA009801,24,2023-05-10,241111111,446475023
970,CTRA009801,25,2023-06-10,241111111,458418941
971,CTRA009801,26,2023-07-10,241111111,440787443
972,CTRA009801,27,2023-08-10,241111111,452541775
973,CTRA009801,28,2023-09-10,241111111,449603192
974,CTRA009801,29,2023-10-10,241111111,432256073
975,CTRA009801,30,2023-11-10,241111111,443726026
976,CTRA009801,31,2023-12-10,241111111,426568493
977,CTRA009801,32,2024-01-10,241111111,437848860
978,CTRA009801,33,2024-02-10,241111111,434910277
979,CTRA009801,34,2024-03-10,241111111,404102553
980,CTRA009801,35,2024-04-10,241111111,429033111
981,CTRA009801,36,2024-05-10,241111111,412349543
982,CTRA009801,37,2024-06-10,241111111,423155945
983,CTRA009801,38,2024-07-10,241111111,406661964
984,CTRA009801,39,2024-08-10,241111111,417278779
985,CTRA009801,40,2024-09-10,241111111,414340196
986,CTRA009801,41,2024-10-10,241111111,398130594
987,CTRA009801,42,2024-11-10,241111111,408463030
988,CTRA009801,43,2024-12-10,241111111,392443014
989,CTRA009905,1,2023-07-17,547619048,567123288
990,CTRA009905,2,2023-08-17,547619048,579050881
991,CTRA009905,3,2023-09-17,547619048,572074364
992,CTRA009905,4,2023-10-17,547619048,546868885
993,CTRA009905,5,2023-11-17,547619048,558121331
994,CTRA009905,6,2023-12-17,547619048,533365949
995,CTRA009905,7,2024-01-17,547619048,544168297
996,CTRA009905,8,2024-02-17,547619048,537191781
997,CTRA009905,9,2024-03-17,547619048,496007828
998,CTRA009905,10,2024-04-17,547619048,523238748
999,CTRA009905,11,2024-05-17,547619048,499608611
1000,CTRA009905,12,2024-06-17,547619048,509285714
1001,CTRA009905,13,2024-07-17,547619048,486105675
1002,CTRA009905,14,2024-08-17,547619048,495332681
1003,CTRA009905,15,2024-09-17,547619048,488356164
1004,CTRA009905,16,2024-10-17,547619048,465851272
1005,CTRA009905,17,2024-11-17,547619048,474403131
1006,CTRA009905,18,2024-12-17,547619048,452348337
1007,CTRA009990,1,2022-05-10,355555556,150443836
1008,CTRA009990,2,2022-06-10,355555556,151140335
1009,CTRA009990,3,2022-07-10,355555556,142085845
1010,CTRA009990,4,2022-08-10,355555556,142503744
1011,CTRA009990,5,2022-09-10,355555556,138185449
1012,CTRA009990,6,2022-10-10,355555556,129548858
1013,CTRA009990,7,2022-11-10,355555556,129548858
1014,CTRA009990,8,2022-12-10,355555556,121190868
1015,CTRA009990,9,2023-01-10,355555556,120912268
1016,CTRA009990,10,2023-02-10,355555556,116593973
1017,CTRA009990,11,2023-03-10,355555556,101410289
1018,CTRA009990,12,2023-04-10,355555556,107957382
1019,CTRA009990,13,2023-05-10,355555556,100295890
1020,CTRA009990,14,2023-06-10,355555556,99320791
1021,CTRA009990,15,2023-07-10,355555556,91937899
1022,CTRA009990,16,2023-08-10,355555556,90684201
1023,CTRA009990,17,2023-09-10,355555556,86365906
1024,CTRA009990,18,2023-10-10,355555556,79400913
1025,CTRA009990,19,2023-11-10,355555556,77729315
1026,CTRA009990,20,2023-12-10,355555556,71042922
1027,CTRA009990,21,2024-01-10,355555556,69092724
1028,CTRA009990,22,2024-02-10,355555556,64774429
1029,CTRA009990,23,2024-03-10,355555556,56555738
1030,CTRA009990,24,2024-04-10,355555556,56137839
1031,CTRA009990,25,2024-05-10,355555556,50147945
1032,CTRA009990,26,2024-06-10,355555556,47501248
1033,CTRA009990,27,2024-07-10,355555556,41789954
1034,CTRA009990,28,2024-08-10,355555556,38864657
1035,CTRA009990,29,2024-09-10,355555556,34546362
1036,CTRA009990,30,2024-10-10,355555556,29252968
1037,CTRA009990,31,2024-11-10,355555556,25909772
1038,CTRA009990,32,2024-12-10,355555556,20894977
1039,CTRA009992,1,2021-10-19,83333333,173219178
1040,CTRA009992,2,2021-11-19,83333333,177998744
1041,CTRA009992,3,2021-12-19,83333333,171294521
1042,CTRA009992,4,2022-01-19,83333333,176009932
1043,CTRA009992,5,2022-02-19,83333333,175015525
1044,CTRA009992,6,2022-03-19,83333333,157180365
1045,CTRA009992,7,2022-04-19,83333333,173026712
1046,CTRA009992,8,2022-05-19,83333333,166482877
1047,CTRA009992,9,2022-06-19,83333333,171037900
1048,CTRA009992,10,2022-07-19,83333333,164558219
1049,CTRA009992,11,2022-08-19,83333333,169049087
1050,CTRA009992,12,2022-09-19,83333333,168054680
1051,CTRA009992,13,2022-10-19,83333333,161671233
1052,CTRA009992,14,2022-11-19,83333333,166065868
1053,CTRA009992,15,2022-12-19,83333333,159746575
1054,CTRA009992,16,2023-01-19,83333333,164077055
1055,CTRA009992,17,2023-02-19,83333333,163082648
1056,CTRA009992,18,2023-03-19,83333333,146402283
1057,CTRA009992,19,2023-04-19,83333333,161093836
1058,CTRA009992,20,2023-05-19,83333333,154934932
1059,CTRA009992,21,2023-06-19,83333333,159105023
1060,CTRA009992,22,2023-07-19,83333333,153010274
1061,CTRA009992,23,2023-08-19,83333333,157116210
1062,CTRA009992,24,2023-09-19,83333333,156121804
1063,CTRA009992,25,2023-10-19,83333333,150123288
1064,CTRA009992,26,2023-11-19,83333333,154132991
1065,CTRA009992,27,2023-12-19,83333333,148198630
1066,CTRA009992,28,2024-01-19,83333333,152144178
1067,CTRA009992,29,2024-02-19,83333333,151149772
1068,CTRA009992,30,2024-03-19,83333333,140467922
1069,CTRA009992,31,2024-04-19,83333333,149160959
1070,CTRA009992,32,2024-05-19,83333333,143386986
1071,CTRA009992,33,2024-06-19,83333333,147172146
1072,CTRA009992,34,2024-07-19,83333333,141462329
1073,CTRA009992,35,2024-08-19,83333333,145183333
1074,CTRA009992,36,2024-09-19,83333333,144188927
1075,CTRA009992,37,2024-10-19,83333333,138575343
1076,CTRA009992,38,2024-11-19,83333333,142200114
1077,CTRA009992,39,2024-12-19,83333333,136650685
1078,CTRA009995,1,2021-06-03,19444444,8709726
1079,CTRA009995,2,2021-07-03,19444444,8194635
1080,CTRA009995,3,2021-08-03,19444444,8225852
1081,CTRA009995,4,2021-09-03,19444444,7983916
1082,CTRA009995,5,2021-10-03,19444444,7492237
1083,CTRA009995,6,2021-11-03,19444444,7500042
1084,CTRA009995,7,2021-12-03,19444444,7023973
1085,CTRA009995,8,2022-01-03,19444444,7016168
1086,CTRA009995,9,2022-02-03,19444444,6774231
1087,CTRA009995,10,2022-03-03,19444444,5900137
1088,CTRA009995,11,2022-04-03,19444444,6290358
1089,CTRA009995,12,2022-05-03,19444444,5853311
1090,CTRA009995,13,2022-06-03,19444444,5806484
1091,CTRA009995,14,2022-07-03,19444444,5385046
1092,CTRA009995,15,2022-08-03,19444444,5322610
1093,CTRA009995,16,2022-09-03,19444444,5080674
1094,CTRA009995,17,2022-10-03,19444444,4682648
1095,CTRA009995,18,2022-11-03,19444444,4596800
1096,CTRA009995,19,2022-12-03,19444444,4214384
1097,CTRA009995,20,2023-01-03,19444444,4112926
1098,CTRA009995,21,2023-02-03,19444444,3870989
1099,CTRA009995,22,2023-03-03,19444444,3277854
1100,CTRA009995,23,2023-04-03,19444444,3387116
1101,CTRA009995,24,2023-05-03,19444444,3043722
1102,CTRA009995,25,2023-06-03,19444444,2903242
1103,CTRA009995,26,2023-07-03,19444444,2575457
1104,CTRA009995,27,2023-08-03,19444444,2419368
1105,CTRA009995,28,2023-09-03,19444444,2177432
1106,CTRA009995,29,2023-10-03,19444444,1873060
1107,CTRA009995,30,2023-11-03,19444444,1693558
1108,CTRA009995,31,2023-12-03,19444444,1404795
1109,CTRA009995,32,2024-01-03,19444444,1209684
1110,CTRA009995,33,2024-02-03,19444444,967748
1111,CTRA009995,34,2024-03-03,19444444,678984
1112,CTRA009995,35,2024-04-03,19444444,483874
1113,CTRA009995,36,2024-05-04,19444460,241937
1114,CTRA010001,1,2021-10-19,708333333,981575342
1115,CTRA010001,2,2021-11-19,708333333,1005842066
1116,CTRA010001,3,2021-12-19,708333333,965215753
1117,CTRA010001,4,2022-01-19,708333333,988937158
1118,CTRA010001,5,2022-02-19,708333333,980484703
1119,CTRA010001,6,2022-03-19,708333333,877964612
1120,CTRA010001,7,2022-04-19,708333333,963579795
1121,CTRA010001,8,2022-05-19,708333333,924316781
1122,CTRA010001,9,2022-06-19,708333333,946674886
1123,CTRA010001,10,2022-07-19,708333333,907957192
1124,CTRA010001,11,2022-08-19,708333333,929769977
1125,CTRA010001,12,2022-09-19,708333333,921317523
1126,CTRA010001,13,2022-10-19,708333333,883417808
1127,CTRA010001,14,2022-11-19,708333333,904412614
1128,CTRA010001,15,2022-12-19,708333333,867058219
1129,CTRA010001,16,2023-01-19,708333333,887507706
1130,CTRA010001,17,2023-02-19,708333333,879055251
1131,CTRA010001,18,2023-03-19,708333333,786350913
1132,CTRA010001,19,2023-04-19,708333333,862150343
1133,CTRA010001,20,2023-05-19,708333333,826159247
1134,CTRA010001,21,2023-06-19,708333333,845245434
1135,CTRA010001,22,2023-07-19,708333333,809799658
1136,CTRA010001,23,2023-08-19,708333333,828340525
1137,CTRA010001,24,2023-09-19,708333333,819888071
1138,CTRA010001,25,2023-10-19,708333333,785260274
1139,CTRA010001,26,2023-11-19,708333333,802983162
1140,CTRA010001,27,2023-12-19,708333333,768900685
1141,CTRA010001,28,2024-01-19,708333333,786078254
1142,CTRA010001,29,2024-02-19,708333333,777625799
1143,CTRA010001,30,2024-03-19,708333333,719549258
1144,CTRA010001,31,2024-04-19,708333333,760720891
1145,CTRA010001,32,2024-05-19,708333333,728001712
1146,CTRA010001,33,2024-06-19,708333333,743815982
1147,CTRA010001,34,2024-07-19,708333333,711642123
1148,CTRA010001,35,2024-08-19,708333333,726911073
1149,CTRA010001,36,2024-09-19,708333333,718458619
1150,CTRA010001,37,2024-10-19,708333333,687102740
1151,CTRA010001,38,2024-11-19,708333333,701553710
1152,CTRA010001,39,2024-12-19,708333333,670743151
1153,CTRA010000,1,2021-06-09,147222222,320722603
1154,CTRA010000,2,2021-07-09,147222222,308652397
1155,CTRA010000,3,2021-08-09,147222222,317159018
1156,CTRA010000,4,2021-09-09,147222222,315377226
1157,CTRA010000,5,2021-10-09,147222222,303479452
1158,CTRA010000,6,2021-11-09,147222222,311813642
1159,CTRA010000,7,2021-12-09,147222222,300030822
1160,CTRA010000,8,2022-01-09,147222222,308250057
1161,CTRA010000,9,2022-02-09,147222222,306468265
1162,CTRA010000,10,2022-03-09,147222222,275200685
1163,CTRA010000,11,2022-04-09,147222222,302904680
1164,CTRA010000,12,2022-05-09,147222222,291409247
1165,CTRA010000,13,2022-06-09,147222222,299341096
1166,CTRA010000,14,2022-07-09,147222222,287960616
1167,CTRA010000,15,2022-08-09,147222222,295777511
1168,CTRA010000,16,2022-09-09,147222222,293995719
1169,CTRA010000,17,2022-10-09,147222222,282787671
1170,CTRA010000,18,2022-11-09,147222222,290432135
1171,CTRA010000,19,2022-12-09,147222222,279339041
1172,CTRA010000,20,2023-01-09,147222222,286868550
1173,CTRA010000,21,2023-02-09,147222222,285086758
1174,CTRA010000,22,2023-03-09,147222222,255888356
1175,CTRA010000,23,2023-04-09,147222222,281523174
1176,CTRA010000,24,2023-05-09,147222222,270717466
1177,CTRA010000,25,2023-06-09,147222222,277959589
1178,CTRA010000,26,2023-07-09,147222222,267268836
1179,CTRA010000,27,2023-08-09,147222222,274396005
1180,CTRA010000,28,2023-09-09,147222222,272614212
1181,CTRA010000,29,2023-10-09,147222222,262095890
1182,CTRA010000,30,2023-11-09,147222222,269050628
1183,CTRA010000,31,2023-12-09,147222222,258647260
1184,CTRA010000,32,2024-01-09,147222222,265487043
1185,CTRA010000,33,2024-02-09,147222222,263705251
1186,CTRA010000,34,2024-03-09,147222222,245025171
1187,CTRA010000,35,2024-04-09,147222222,260141667
1188,CTRA010000,36,2024-05-09,147222222,250025685
1189,CTRA010000,37,2024-06-09,147222222,256578082
1190,CTRA010000,38,2024-07-09,147222222,246577055
1191,CTRA010000,39,2024-08-09,147222222,253014498
1192,CTRA010000,40,2024-09-09,147222222,251232706
1193,CTRA010000,41,2024-10-09,147222222,241404110
1194,CTRA010000,42,2024-11-09,147222222,247669121
1195,CTRA010000,43,2024-12-09,147222222,237955480
1196,CTRA010011,1,2021-06-11,83333333,182815068
1197,CTRA010011,2,2021-07-11,83333333,175934932
1198,CTRA010011,3,2021-08-11,83333333,180783790
1199,CTRA010011,4,2021-09-11,83333333,179768151
1200,CTRA010011,5,2021-10-11,83333333,172986301
1201,CTRA010011,6,2021-11-11,83333333,177736872
1202,CTRA010011,7,2021-12-11,83333333,171020548
1203,CTRA010011,8,2022-01-11,83333333,175705594
1204,CTRA010011,9,2022-02-11,83333333,174689954
1205,CTRA010011,10,2022-03-11,83333333,156867123
1206,CTRA010011,11,2022-04-11,83333333,172658676
1207,CTRA010011,12,2022-05-11,83333333,166106164
1208,CTRA010011,13,2022-06-11,83333333,170627397
1209,CTRA010011,14,2022-07-11,83333333,164140411
1210,CTRA010011,15,2022-08-11,83333333,168596119
1211,CTRA010011,16,2022-09-11,83333333,167580480
1212,CTRA010011,17,2022-10-11,83333333,161191781
1213,CTRA010011,18,2022-11-11,83333333,165549201
1214,CTRA010011,19,2022-12-11,83333333,159226027
1215,CTRA010011,20,2023-01-11,83333333,163517922
1216,CTRA010011,21,2023-02-11,83333333,162502283
1217,CTRA010011,22,2023-03-11,83333333,145858904
1218,CTRA010011,23,2023-04-11,83333333,160471005
1219,CTRA010011,24,2023-05-11,83333333,154311644
1220,CTRA010011,25,2023-06-11,83333333,158439726
1221,CTRA010011,26,2023-07-11,83333333,152345891
1222,CTRA010011,27,2023-08-11,83333333,156408448
1223,CTRA010011,28,2023-09-11,83333333,155392808
1224,CTRA010011,29,2023-10-11,83333333,149397260
1225,CTRA010011,30,2023-11-11,83333333,153361530
1226,CTRA010011,31,2023-12-11,83333333,147431507
1227,CTRA010011,32,2024-01-11,83333333,151330251
1228,CTRA010011,33,2024-02-11,83333333,150314612
1229,CTRA010011,34,2024-03-11,83333333,139666781
1230,CTRA010011,35,2024-04-11,83333333,148283333
1231,CTRA010011,36,2024-05-11,83333333,142517123
1232,CTRA010011,37,2024-06-11,83333333,146252055
1233,CTRA010011,38,2024-07-11,83333333,140551370
1234,CTRA010011,39,2024-08-11,83333333,144220776
1235,CTRA010011,40,2024-09-11,83333333,143205137
1236,CTRA010011,41,2024-10-11,83333333,137602740
1237,CTRA010011,42,2024-11-11,83333333,141173859
1238,CTRA010011,43,2024-12-11,83333333,135636986
1239,CTRA010012,1,2022-06-11,162500000,237659589
1240,CTRA010012,2,2022-07-11,162500000,228076541
1241,CTRA010012,3,2022-08-11,162500000,233698596
1242,CTRA010012,4,2022-09-11,162500000,231718099
1243,CTRA010012,5,2022-10-11,162500000,222326712
1244,CTRA010012,6,2022-11-11,162500000,227757106
1245,CTRA010012,7,2022-12-11,162500000,218493493
1246,CTRA010012,8,2023-01-11,162500000,223796113
1247,CTRA010012,9,2023-02-11,162500000,221815616
1248,CTRA010012,10,2023-03-11,162500000,198560753
1249,CTRA010012,11,2023-04-11,162500000,217854623
1250,CTRA010012,12,2023-05-11,162500000,208910445
1251,CTRA010012,13,2023-06-11,162500000,213893630
1252,CTRA010012,14,2023-07-11,162500000,205077226
1253,CTRA010012,15,2023-08-11,162500000,209932637
1254,CTRA010012,16,2023-09-11,162500000,207952140
1255,CTRA010012,17,2023-10-11,162500000,199327397
1256,CTRA010012,18,2023-11-11,162500000,203991147
1257,CTRA010012,19,2023-12-11,162500000,195494178
1258,CTRA010012,20,2024-01-11,162500000,200030154
1259,CTRA010012,21,2024-02-11,162500000,198049658
1260,CTRA010012,22,2024-03-11,162500000,183419538
1261,CTRA010012,23,2024-04-11,162500000,194088664
1262,CTRA010012,24,2024-05-11,162500000,185911130
1263,CTRA010012,25,2024-06-11,162500000,190127671
1264,CTRA010012,26,2024-07-11,162500000,182077911
1265,CTRA010012,27,2024-08-11,162500000,186166678
1266,CTRA010012,28,2024-09-11,162500000,184186182
1267,CTRA010012,29,2024-10-11,162500000,176328082
1268,CTRA010012,30,2024-11-11,162500000,180225188
1269,CTRA010012,31,2024-12-11,162500000,172494863
1270,CTRA010016,1,2023-05-17,16666666667,2396712329
1271,CTRA010016,2,2023-06-17,16666666667,2270219178
1272,CTRA010016,3,2023-07-17,16666666667,1997260274
1273,CTRA010016,4,2023-08-17,16666666667,1857452055
1274,CTRA010016,5,2023-09-17,16666666667,1651068493
1275,CTRA010016,6,2023-10-17,16666666667,1398082192
1276,CTRA010016,7,2023-11-17,16666666667,1238301370
1277,CTRA010016,8,2023-12-17,16666666667,998630137
1278,CTRA010016,9,2024-01-17,16666666667,825534247
1279,CTRA010016,10,2024-02-17,16666666667,619150685
1280,CTRA010016,11,2024-03-17,16666666667,386136986
1281,CTRA010016,12,2024-04-18,16666666663,213041096
1282,CTRA010017,1,2020-12-31,31666667,23802055
1283,CTRA010017,2,2021-01-31,31666667,23405354
1284,CTRA010017,3,2021-02-28,31666667,20782009
1285,CTRA010017,4,2021-03-31,31666667,22611952
1286,CTRA010017,5,2021-04-30,31666667,21498630
1287,CTRA010017,6,2021-05-31,31666667,21818550
1288,CTRA010017,7,2021-06-30,31666667,20730822
1289,CTRA010017,8,2021-07-31,31666667,21025148
1290,CTRA010017,9,2021-08-31,31666667,20628447
1291,CTRA010017,10,2021-09-30,31666667,19579110
1292,CTRA010017,11,2021-10-31,31666667,19835046
1293,CTRA010017,12,2021-11-30,31666667,18811301
1294,CTRA010017,13,2021-12-31,31666667,19041644
1295,CTRA010017,14,2022-01-31,31666667,18644943
1296,CTRA010017,15,2022-02-28,31666667,16482283
1297,CTRA010017,16,2022-03-31,31666667,17851541
1298,CTRA010017,17,2022-04-30,31666667,16891781
1299,CTRA010017,18,2022-05-31,31666667,17058139
1300,CTRA010017,19,2022-06-30,31666667,16123973
1301,CTRA010017,20,2022-07-31,31666667,16264737
1302,CTRA010017,21,2022-08-31,31666667,15868036
1303,CTRA010017,22,2022-09-30,31666667,14972260
1304,CTRA010017,23,2022-10-31,31666667,15074635
1305,CTRA010017,24,2022-11-30,31666667,14204452
1306,CTRA010017,25,2022-12-31,31666667,14281233
1307,CTRA010017,26,2023-01-31,31666667,13884532
1308,CTRA010017,27,2023-02-28,31666667,12182557
1309,CTRA010017,28,2023-03-31,31666667,13091130
1310,CTRA010017,29,2023-04-30,31666667,12284931
1311,CTRA010017,30,2023-05-31,31666667,12297728
1312,CTRA010017,31,2023-06-30,31666667,11517123
1313,CTRA010017,32,2023-07-31,31666667,11504326
1314,CTRA010017,33,2023-08-31,31666667,11107625
1315,CTRA010017,34,2023-09-30,31666667,10365411
1316,CTRA010017,35,2023-10-31,31666667,10314224
1317,CTRA010017,36,2023-11-30,31666667,9597603
1318,CTRA010017,37,2023-12-31,31666667,9520822
1319,CTRA010017,38,2024-01-31,31666667,9124121
1320,CTRA010017,39,2024-02-29,31666667,8164361
1321,CTRA010017,40,2024-03-31,31666667,8330719
1322,CTRA010017,41,2024-04-30,31666667,7678082
1323,CTRA010017,42,2024-05-31,31666667,7537317
1324,CTRA010017,43,2024-06-30,31666667,6910274
1325,CTRA010017,44,2024-07-31,31666667,6743915
1326,CTRA010017,45,2024-08-31,31666667,6347214
1327,CTRA010017,46,2024-09-30,31666667,5758561
1328,CTRA010017,47,2024-10-31,31666667,5553813
1329,CTRA010017,48,2024-11-30,31666667,4990753
1330,CTRA010017,49,2024-12-31,31666667,4760411
1331,CTRA010055,1,2022-05-05,205555556,436397260
1332,CTRA010055,2,2022-06-05,205555556,448438592
1333,CTRA010055,3,2022-07-05,205555556,431548402
1334,CTRA010055,4,2022-08-05,205555556,443428105
1335,CTRA010055,5,2022-09-05,205555556,440922861
1336,CTRA010055,6,2022-10-05,205555556,424275114
1337,CTRA010055,7,2022-11-05,205555556,435912374
1338,CTRA010055,8,2022-12-05,205555556,419426256
1339,CTRA010055,9,2023-01-05,205555556,430901887
1340,CTRA010055,10,2023-02-05,205555556,428396644
1341,CTRA010055,11,2023-03-05,205555556,384676103
1342,CTRA010055,12,2023-04-05,205555556,423386157
1343,CTRA010055,13,2023-05-05,205555556,407304110
1344,CTRA010055,14,2023-06-05,205555556,418375670
1345,CTRA010055,15,2023-07-05,205555556,402455251
1346,CTRA010055,16,2023-08-05,205555556,413365183
1347,CTRA010055,17,2023-09-05,205555556,410859939
1348,CTRA010055,18,2023-10-05,205555556,395181963
1349,CTRA010055,19,2023-11-05,205555556,405849452
1350,CTRA010055,20,2023-12-05,205555556,390333105
1351,CTRA010055,21,2024-01-05,205555556,400838965
1352,CTRA010055,22,2024-02-05,205555556,398333721
1353,CTRA010055,23,2024-03-05,205555556,370291157
1354,CTRA010055,24,2024-04-05,205555556,393323234
1355,CTRA010055,25,2024-05-05,205555556,378210959
1356,CTRA010055,26,2024-06-05,205555556,388312747
1357,CTRA010055,27,2024-07-05,205555556,373362100
1358,CTRA010055,28,2024-08-05,205555556,383302260
1359,CTRA010055,29,2024-09-05,205555556,380797017
1360,CTRA010055,30,2024-10-05,205555556,366088813
1361,CTRA010055,31,2024-11-05,205555556,375786530
1362,CTRA010055,32,2024-12-05,205555556,361239954
1363,CTRA010057,1,2023-10-17,833333333,127397260
1364,CTRA010057,2,2023-11-17,833333333,120673516
1365,CTRA010057,3,2023-12-17,833333333,106164384
1366,CTRA010057,4,2024-01-17,833333333,98732877
1367,CTRA010057,5,2024-02-17,833333333,87762557
1368,CTRA010057,6,2024-03-17,833333333,71837900
1369,CTRA010057,7,2024-04-17,833333333,65821918
1370,CTRA010057,8,2024-05-17,833333333,53082192
1371,CTRA010057,9,2024-06-17,833333333,43881279
1372,CTRA010057,10,2024-07-17,833333333,31849315
1373,CTRA010057,11,2024-08-17,833333333,21940639
1374,CTRA010057,12,2024-09-18,833333337,11324201
1375,CTRA010058,1,2024-04-25,83333333,132493151
1376,CTRA010058,2,2024-05-25,83333333,127150685
1377,CTRA010058,3,2024-06-25,83333333,130284932
1378,CTRA010058,4,2024-07-25,83333333,125013699
1379,CTRA010058,5,2024-08-25,83333333,128076712
1380,CTRA010058,6,2024-09-25,83333333,126972603
1381,CTRA010058,7,2024-10-25,83333333,121808219
1382,CTRA010058,8,2024-11-25,83333333,124764384
1383,CTRA010058,9,2024-12-25,83333333,119671233
1384,CTRA010109,1,2021-06-24,88888889,195002740
1385,CTRA010109,2,2021-07-24,88888889,187663927
1386,CTRA010109,3,2021-08-24,88888889,192836043
1387,CTRA010109,4,2021-09-24,88888889,191752694
1388,CTRA010109,5,2021-10-24,88888889,184518721
1389,CTRA010109,6,2021-11-24,88888889,189585997
1390,CTRA010109,7,2021-12-24,88888889,182421918
1391,CTRA010109,8,2022-01-24,88888889,187419300
1392,CTRA010109,9,2022-02-24,88888889,186335951
1393,CTRA010109,10,2022-03-24,88888889,167324931
1394,CTRA010109,11,2022-04-24,88888889,184169254
1395,CTRA010109,12,2022-05-24,88888889,177179909
1396,CTRA010109,13,2022-06-24,88888889,182002557
1397,CTRA010109,14,2022-07-24,88888889,175083105
1398,CTRA010109,15,2022-08-24,88888889,179835860
1399,CTRA010109,16,2022-09-24,88888889,178752511
1400,CTRA010109,17,2022-10-24,88888889,171937900
1401,CTRA010109,18,2022-11-24,88888889,176585814
1402,CTRA010109,19,2022-12-24,88888889,169841096
1403,CTRA010109,20,2023-01-24,88888889,174419117
1404,CTRA010109,21,2023-02-24,88888889,173335769
1405,CTRA010109,22,2023-03-24,88888889,155582831
1406,CTRA010109,23,2023-04-24,88888889,171169072
1407,CTRA010109,24,2023-05-24,88888889,164599087
1408,CTRA010109,25,2023-06-24,88888889,169002374
1409,CTRA010109,26,2023-07-24,88888889,162502283
1410,CTRA010109,27,2023-08-24,88888889,166835677
1411,CTRA010109,28,2023-09-24,88888889,165752329
1412,CTRA010109,29,2023-10-24,88888889,159357078
1413,CTRA010109,30,2023-11-24,88888889,163585632
1414,CTRA010109,31,2023-12-24,88888889,157260274
1415,CTRA010109,32,2024-01-24,88888889,161418935
1416,CTRA010109,33,2024-02-24,88888889,160335586
1417,CTRA010109,34,2024-03-24,88888889,148977900
1418,CTRA010109,35,2024-04-24,88888889,158168889
1419,CTRA010109,36,2024-05-24,88888889,152018265
1420,CTRA010109,37,2024-06-24,88888889,156002192
1421,CTRA010109,38,2024-07-24,88888889,149921461
1422,CTRA010109,39,2024-08-24,88888889,153835495
1423,CTRA010109,40,2024-09-24,88888889,152752146
1424,CTRA010109,41,2024-10-24,88888889,146776256
1425,CTRA010109,42,2024-11-24,88888889,150585449
1426,CTRA010109,43,2024-12-24,88888889,144679452
1427,CTRA010110,1,2020-02-15,33333333,22506849
1428,CTRA010110,2,2020-03-15,33333333,20703881
1429,CTRA010110,3,2020-04-15,33333333,21756621
1430,CTRA010110,4,2020-05-15,33333333,20691781
1431,CTRA010110,5,2020-06-15,33333333,21006393
1432,CTRA010110,6,2020-07-15,33333333,19965753
1433,CTRA010110,7,2020-08-15,33333333,20256164
1434,CTRA010110,8,2020-09-15,33333333,19881050
1435,CTRA010110,9,2020-10-15,33333333,18876712
1436,CTRA010110,10,2020-11-15,33333333,19130822
1437,CTRA010110,11,2020-12-15,33333333,18150685
1438,CTRA010110,12,2021-01-15,33333333,18380594
1439,CTRA010110,13,2021-02-15,33333333,18005479
1440,CTRA010110,14,2021-03-15,33333333,15924201
1441,CTRA010110,15,2021-04-15,33333333,17255251
1442,CTRA010110,16,2021-05-15,33333333,16335616
1443,CTRA010110,17,2021-06-15,33333333,16505023
1444,CTRA010110,18,2021-07-15,33333333,15609589
1445,CTRA010110,19,2021-08-15,33333333,15754795
1446,CTRA010110,20,2021-09-15,33333333,15379680
1447,CTRA010110,21,2021-10-15,33333333,14520548
1448,CTRA010110,22,2021-11-15,33333333,14629452
1449,CTRA010110,23,2021-12-15,33333333,13794521
1450,CTRA010110,24,2022-01-15,33333333,13879224
1451,CTRA010110,25,2022-02-15,33333333,13504110
1452,CTRA010110,26,2022-03-15,33333333,11858448
1453,CTRA010110,27,2022-04-15,33333333,12753881
1454,CTRA010110,28,2022-05-15,33333333,11979452
1455,CTRA010110,29,2022-06-15,33333333,12003653
1456,CTRA010110,30,2022-07-15,33333333,11253425
1457,CTRA010110,31,2022-08-15,33333333,11253425
1458,CTRA010110,32,2022-09-15,33333333,10878311
1459,CTRA010110,33,2022-10-15,33333333,10164384
1460,CTRA010110,34,2022-11-15,33333333,10128082
1461,CTRA010110,35,2022-12-15,33333333,9438356
1462,CTRA010110,36,2023-01-15,33333333,9377854
1463,CTRA010110,37,2023-02-15,33333333,9002740
1464,CTRA010110,38,2023-03-15,33333333,7792694
1465,CTRA010110,39,2023-04-15,33333333,8252512
1466,CTRA010110,40,2023-05-15,33333333,7623288
1467,CTRA010110,41,2023-06-15,33333333,7502283
1468,CTRA010110,42,2023-07-15,33333333,6897260
1469,CTRA010110,43,2023-08-15,33333333,6752055
1470,CTRA010110,44,2023-09-15,33333333,6376941
1471,CTRA010110,45,2023-10-15,33333333,5808219
1472,CTRA010110,46,2023-11-15,33333333,5626712
1473,CTRA010110,47,2023-12-15,33333333,5082192
1474,CTRA010110,48,2024-01-15,33333333,4876484
1475,CTRA010110,49,2024-02-15,33333333,4501370
1476,CTRA010110,50,2024-03-15,33333333,3860046
1477,CTRA010110,51,2024-04-15,33333333,3751142
1478,CTRA010110,52,2024-05-15,33333333,3267123
1479,CTRA010110,53,2024-06-15,33333333,3000913
1480,CTRA010110,54,2024-07-15,33333333,2541096
1481,CTRA010110,55,2024-08-15,33333333,2250685
